tile,target,LOCAL,GLOBAL,FOREST,TARGET
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Natural Organic Material,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Ship,142.47525925496552,142.47525925496552,158.76859747992324,158.76859747905257
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Clouds,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Marine Water,100.12450182641173,100.12450182641173,222.53710794903554,4455.274634320349
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Sediment-Laden Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Foam,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Turbid Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Shallow Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Cloud Shadows,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Wakes,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Mixed Water,28.155473648782827,28.155473648782827,28.155473648782827,28.15547364880056
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Marine Debris,304.9081770824025,304.9081770824025,304.9081770824025,304.9081770834031
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Natural Organic Material,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Ship,1953.165817092317,1953.165817092317,1884.672783531848,2085.0080714607147
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Clouds,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Marine Water,51.91770803183317,88.90555512144198,128.41937433355747,4344.219187548672
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Sediment-Laden Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Foam,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Turbid Water,121.75265404803248,121.75265404803248,121.75265404803248,231.92977770127095
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Shallow Water,0.0,0.0,0.0,2630.5056541485487
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Cloud Shadows,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Wakes,0.0,0.0,0.0,0.0
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,Mixed Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,Marine Debris,111.70655067085377,111.70655067085377,72.45190163722594,111.7065506698238
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,Natural Organic Material,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,Ship,6240.101558943603,6259.707219841008,3061.455435063215,6315.5641007838385
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,Clouds,20615.370816994495,24232.522604213624,7221.31650167693,757327.6601370097
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,Marine Water,7.187327852560614,7.187327852560614,107.89179150941345,69850.44046705352
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,Sediment-Laden Water,0.0,0.0,0.0,0.0
